H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod       10 dzeit  5.77E-02 agej  1.7100E-01
 # t9 =    5.500E-02 rho =    1.000E+02
 # densn  5.25883E+00
 # densp  4.24452E+25
 # densa  4.15132E+24
 # total_energy_flux_[erg/(g*s)]  5.26243E+08
  427    47. 111.   1   7.39510E-16  AG111
  428    47. 112.   1   2.99151E-28  AG112
  429    47. 113.   1   4.71234E-33  AG113
  430    48. 102.   1   1.00004E-99  CD102
  431    48. 103.   1   1.00004E-99  CD103
  432    48. 104.   1   1.00004E-99  CD104
  433    48. 105.   1   1.00004E-99  CD105
  434    48. 106.   1   5.38463E-11  CD106
  435    48. 107.   1   7.40643E-22  CD107
  436    48. 108.   1   4.03723E-11  CD108
  437    48. 109.   1   2.24171E-14  CD109
  438    48. 110.   1   5.60246E-10  CD110
  439    48. 111.   1   5.78022E-10  CD111
  440    48. 112.   1   1.09945E-09  CD112
  441    48. 113.   1   5.62831E-10  CD113
  442    48. 114.   1   1.33547E-09  CD114
  443    48. 115.   1   6.34259E-20  CD115
  444    48. 116.   1   3.54931E-10  CD116
  445    48. 117.   1   4.26249E-22  CD117
  446    48. 118.   1   1.48851E-32  CD118
  447    49. 106.   1   1.00004E-99  IN106
  448    49. 107.   1   1.00004E-99  IN107
  449    49. 108.   1   1.00004E-99  IN108
  450    49. 109.   1   1.00004E-99  IN109
  451    49. 110.   1   1.00004E-99  IN110
  452    49. 111.   1   1.00004E-99  IN111
  453    49. 112.   1   1.00004E-99  IN112
  454    49. 113.   1   2.25329E-11  IN113
  455    49. 114.   1   2.85718E-24  IN114
  456    49. 115.   1   5.11556E-10  IN115
  457    49. 116.   1   8.74672E-24  IN116
  458    49. 117.   1   1.24310E-22  IN117
  459    49. 118.   1   1.00000E-99  IN118
  460    49. 119.   1   9.74539E-33  IN119
  461    50. 108.   1   1.00004E-99  SN108
  462    50. 109.   1   1.00004E-99  SN109
  463    50. 110.   1   1.00004E-99  SN110
  464    50. 111.   1   1.00004E-99  SN111
  465    50. 112.   1   1.05341E-10  SN112
  466    50. 113.   1   4.59625E-14  SN113
  467    50. 114.   1   7.26978E-11  SN114
  468    50. 115.   1   3.75236E-11  SN115
  469    50. 116.   1   1.62852E-09  SN116
  470    50. 117.   1   8.67022E-10  SN117
  471    50. 118.   1   2.76113E-09  SN118
  472    50. 119.   1   9.87441E-10  SN119
  473    50. 120.   1   3.77918E-09  SN120
  474    50. 121.   1   6.66725E-20  SN121
  475    50. 122.   1   5.46189E-10  SN122
  476    50. 123.   1   1.64109E-15  SN123
  477    50. 124.   1   6.93162E-10  SN124
  478    50. 125.   1   7.25593E-19  SN125
  479    50. 126.   1   3.00610E-19  SN126
  480    50. 127.   1   1.68703E-31  SN127
  481    50. 128.   1   1.00004E-99  SN128
  482    50. 129.   1   1.00004E-99  SN129
  483    50. 130.   1   1.00004E-99  SN130
  484    51. 112.   1   1.00004E-99  SB112
  485    51. 113.   1   1.00004E-99  SB113
  486    51. 114.   1   1.00004E-99  SB114
  487    51. 115.   1   1.00004E-99  SB115
  488    51. 116.   1   1.00004E-99  SB116
  489    51. 117.   1   1.00004E-99  SB117
  490    51. 118.   1   1.00004E-99  SB118
  491    51. 119.   1   1.00004E-99  SB119
  492    51. 120.   1   1.00004E-99  SB120
  493    51. 121.   1   5.41513E-10  SB121
  494    51. 122.   1   2.17443E-19  SB122
  495    51. 123.   1   4.10353E-10  SB123
  496    51. 124.   1   1.19248E-21  SB124
  497    51. 125.   1   6.15253E-14  SB125
  498    51. 126.   1   2.95755E-24  SB126
  499    51. 127.   1   3.16733E-29  SB127
  500    51. 128.   1   1.00004E-99  SB128
  501    51. 129.   1   1.00004E-99  SB129
  502    51. 130.   1   1.00004E-99  SB130
  503    51. 131.   1   1.00004E-99  SB131
  504    51. 132.   1   1.00004E-99  SB132
  505    51. 133.   1   1.00004E-99  SB133
  506    52. 114.   1   1.00004E-99  TE114
  507    52. 115.   1   1.00004E-99  TE115
  508    52. 116.   1   1.00004E-99  TE116
  509    52. 117.   1   1.00004E-99  TE117
  510    52. 118.   1   1.00004E-99  TE118
  511    52. 119.   1   1.00004E-99  TE119
  512    52. 120.   1   1.30306E-11  TE120
  513    52. 121.   1   2.07399E-15  TE121
  514    52. 122.   1   3.83160E-10  TE122
  515    52. 123.   1   1.33295E-10  TE123
  516    52. 124.   1   7.18645E-10  TE124
  517    52. 125.   1   1.07989E-09  TE125
  518    52. 126.   1   2.89781E-09  TE126
  519    52. 127.   1   1.83996E-20  TE127
  520    52. 128.   1   4.94099E-09  TE128
  521    52. 129.   1   1.39260E-21  TE129
  522    52. 130.   1   5.37296E-09  TE130
  523    52. 131.   1   2.10855E-22  TE131
  524    52. 132.   1   4.24784E-25  TE132
  525    52. 133.   1   3.22111E-32  TE133
  526    52. 134.   1   1.14859E-34  TE134
  527    53. 117.   1   1.00004E-99  I 117
  528    53. 118.   1   1.00004E-99  I 118
  529    53. 119.   1   1.00004E-99  I 119
